      4364:	symbol=_res;  lookup in file=./the_end [0]
      4364:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=stdin;  lookup in file=./the_end [0]
      4364:	symbol=stdin;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__check_rhosts_file;  lookup in file=./the_end [0]
      4364:	symbol=__check_rhosts_file;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=opterr;  lookup in file=./the_end [0]
      4364:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__ctype32_toupper;  lookup in file=./the_end [0]
      4364:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__realloc_hook;  lookup in file=./the_end [0]
      4364:	symbol=__realloc_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_dl_argv;  lookup in file=./the_end [0]
      4364:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=rpc_createerr;  lookup in file=./the_end [0]
      4364:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_IO_2_1_stderr_;  lookup in file=./the_end [0]
      4364:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_IO_2_1_stdout_;  lookup in file=./the_end [0]
      4364:	symbol=_IO_2_1_stdout_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_IO_2_1_stdin_;  lookup in file=./the_end [0]
      4364:	symbol=_IO_2_1_stdin_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
      4364:	symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
      4364:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./the_end [0]
      4364:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=printf;  lookup in file=./the_end [0]
      4364:	symbol=printf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=close;  lookup in file=./the_end [0]
      4364:	symbol=close;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=read;  lookup in file=./the_end [0]
      4364:	symbol=read;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__libc_start_main;  lookup in file=./the_end [0]
      4364:	symbol=__libc_start_main;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__gmon_start__;  lookup in file=./the_end [0]
      4364:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=fflush;  lookup in file=./the_end [0]
      4364:	symbol=fflush;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_Jv_RegisterClasses;  lookup in file=./the_end [0]
      4364:	symbol=_Jv_RegisterClasses;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_Jv_RegisterClasses;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=exit;  lookup in file=./the_end [0]
      4364:	symbol=exit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_ITM_registerTMCloneTable;  lookup in file=./the_end [0]
      4364:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=sleep;  lookup in file=./the_end [0]
      4364:	symbol=sleep;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__cxa_finalize;  lookup in file=./the_end [0]
      4364:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_r_debug;  lookup in file=./the_end [0]
      4364:	symbol=_r_debug;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_r_debug;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	symbol=free;  lookup in file=./the_end [0]
      4364:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=__libc_memalign;  lookup in file=./the_end [0]
      4364:	symbol=__libc_memalign;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=malloc;  lookup in file=./the_end [0]
      4364:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=calloc;  lookup in file=./the_end [0]
      4364:	symbol=calloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=realloc;  lookup in file=./the_end [0]
      4364:	symbol=realloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	
      4364:	calling init: /lib/x86_64-linux-gnu/libc.so.6
      4364:	
      4364:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
      4364:	symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
      4364:	
      4364:	initialize program: ./the_end
      4364:	
      4364:	
      4364:	transferring control: ./the_end
      4364:	
      4364:	symbol=_dl_find_dso_for_object;  lookup in file=./the_end [0]
      4364:	symbol=_dl_find_dso_for_object;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
      4364:	symbol=_dl_find_dso_for_object;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
      4364:	
      4364:	calling fini: ./the_end [0]
      4364:	
